index,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Year_range
46,Albania,Wheat,1999,24954,1485,502.86,16.57,old
47,Albania,Maize,2000,38811,1485,565.82,16.67,old
48,Albania,Potatoes,2000,141228,1485,565.82,16.67,old
49,Albania,Soybeans,2000,15000,1485,565.82,16.67,old
50,Albania,Wheat,2000,30455,1485,565.82,16.67,old
51,Albania,Maize,2001,38135,1485,628.79,16.59,medium
52,Albania,Potatoes,2001,148818,1485,628.79,16.59,medium
53,Albania,Soybeans,2001,20000,1485,628.79,16.59,medium
54,Albania,Wheat,2001,28220,1485,628.79,16.59,medium
55,Albania,Maize,2002,39460,1485,691.75,16.47,medium
56,Albania,Potatoes,2002,153868,1485,691.75,16.47,medium
57,Albania,Soybeans,2002,20000,1485,691.75,16.47,medium
58,Albania,Wheat,2002,31617,1485,691.75,16.47,medium
59,Albania,Maize,2004,46197,1485,817.68,16.16,medium
60,Albania,Potatoes,2004,149346,1485,817.68,16.16,medium
61,Albania,Soybeans,2004,13333,1485,817.68,16.16,medium
62,Albania,Wheat,2004,31130,1485,817.68,16.16,medium
63,Albania,Maize,2005,45442,1485,880.64,15.67,medium
64,Albania,Potatoes,2005,167061,1485,880.64,15.67,medium
65,Albania,Soybeans,2005,17500,1485,880.64,15.67,medium
66,Albania,Wheat,2005,31582,1485,880.64,15.67,medium
67,Albania,Maize,2006,50111,1485,943.61,15.92,medium
68,Albania,Potatoes,2006,170745,1485,943.61,15.92,medium
69,Albania,Soybeans,2006,20000,1485,943.61,15.92,medium
70,Albania,Wheat,2006,30787,1485,943.61,15.92,medium
71,Albania,Maize,2007,46732,1485,1006.57,16.67,medium
72,Albania,Potatoes,2007,188902,1485,1006.57,16.67,medium
73,Albania,Soybeans,2007,20000,1485,1006.57,16.67,medium
74,Albania,Wheat,2007,35496,1485,1006.57,16.67,medium
75,Albania,Maize,2008,50000,1485,1069.54,16.71,medium
76,Albania,Potatoes,2008,193878,1485,1069.54,16.71,medium
77,Albania,Soybeans,2008,20000,1485,1069.54,16.71,medium
78,Albania,Wheat,2008,40168,1485,1069.54,16.71,medium
79,Albania,Maize,2009,55693,1485,1132.5,16.73,medium
80,Albania,Potatoes,2009,219780,1485,1132.5,16.73,medium
81,Albania,Soybeans,2009,16667,1485,1132.5,16.73,medium
82,Albania,Wheat,2009,40229,1485,1132.5,16.73,medium
83,Albania,Maize,2010,66790,1485,1311.17,16.52,medium
84,Albania,Potatoes,2010,39530,1485,1311.17,16.52,medium
85,Albania,Soybeans,2010,16667,1485,1311.17,16.52,medium
86,Albania,Wheat,2010,39905,1485,1311.17,16.52,medium
87,Albania,Maize,2011,59869,1485,1302.63,16.45,new
88,Albania,Potatoes,2011,39530,1485,1302.63,16.45,new
89,Albania,Soybeans,2011,18519,1485,1302.63,16.45,new
90,Albania,Wheat,2011,42301,1485,1302.63,16.45,new
91,Albania,Maize,2012,67290,1485,766.25,16.7,new
92,Albania,Potatoes,2012,39530,1485,766.25,16.7,new
93,Albania,Soybeans,2012,13333,1485,766.25,16.7,new
94,Albania,Wheat,2012,41096,1485,766.25,16.7,new
95,Albania,Maize,2013,69533,1485,982.32,17.41,new
96,Albania,Potatoes,2013,39530,1485,982.32,17.41,new
97,Albania,Soybeans,2013,10000,1485,982.32,17.41,new
98,Albania,Wheat,2013,41292,1485,982.32,17.41,new
99,Algeria,Maize,1990,16500,89,1828.92,17.48,old
100,Algeria,Potatoes,1990,78936,89,1828.92,17.48,old
101,Algeria,"Rice, paddy",1990,28000,89,1828.92,17.48,old
102,Algeria,Sorghum,1990,16571,89,1828.92,17.48,old
103,Algeria,Wheat,1990,6315,89,1828.92,17.48,old
104,Algeria,Maize,1991,19231,89,2461.8,16.26,old
105,Algeria,Potatoes,1991,90747,89,2461.8,16.26,old
106,Algeria,"Rice, paddy",1991,26786,89,2461.8,16.26,old
107,Algeria,Sorghum,1991,24231,89,2461.8,16.26,old
108,Algeria,Wheat,1991,10809,89,2461.8,16.26,old
109,Algeria,Maize,1992,22828,89,1215.47,16.27,old
110,Algeria,Potatoes,1992,107917,89,1215.47,16.27,old
111,Algeria,"Rice, paddy",1992,24733,89,1215.47,16.27,old
112,Algeria,Sorghum,1992,40000,89,1215.47,16.27,old
113,Algeria,Wheat,1992,9939,89,1215.47,16.27,old
114,Algeria,Maize,1993,12500,89,1021.89,17,old
115,Algeria,Potatoes,1993,111215,89,1021.89,17,old
116,Algeria,"Rice, paddy",1993,23111,89,1021.89,17,old
117,Algeria,Sorghum,1993,50000,89,1021.89,17,old
118,Algeria,Wheat,1993,8097,89,1021.89,17,old
119,Algeria,Maize,1994,4512,89,1255.02,17.88,old
120,Algeria,Potatoes,1994,95078,89,1255.02,17.88,old
121,Algeria,"Rice, paddy",1994,21374,89,1255.02,17.88,old
122,Algeria,Wheat,1994,7999,89,1255.02,17.88,old
123,Algeria,Maize,1995,16115,89,2697.09,17.36,old
124,Algeria,Potatoes,1995,136768,89,2697.09,17.36,old
125,Algeria,"Rice, paddy",1995,19598,89,2697.09,17.36,old
126,Algeria,Sorghum,1995,12667,89,2697.09,17.36,old
127,Algeria,Wheat,1995,8924,89,2697.09,17.36,old
128,Algeria,Maize,1996,17154,89,479.77,16.76,old
129,Algeria,Potatoes,1996,134629,89,479.77,16.76,old
130,Algeria,"Rice, paddy",1996,17861,89,479.77,16.76,old
131,Algeria,Sorghum,1996,14750,89,479.77,16.76,old
132,Algeria,Wheat,1996,13090,89,479.77,16.76,old
133,Algeria,Maize,1997,21417,89,401.22,17.84,old
134,Algeria,Potatoes,1997,141042,89,401.22,17.84,old
135,Algeria,"Rice, paddy",1997,15000,89,401.22,17.84,old
136,Algeria,Sorghum,1997,40000,89,401.22,17.84,old
137,Algeria,Wheat,1997,8016,89,401.22,17.84,old
138,Algeria,Maize,1998,17222,89,322.84,17.14,old
139,Algeria,Potatoes,1998,160256,89,322.84,17.14,old
140,Algeria,"Rice, paddy",1998,15000,89,322.84,17.14,old
141,Algeria,Sorghum,1998,24500,89,322.84,17.14,old
142,Algeria,Wheat,1998,8847,89,322.84,17.14,old
143,Algeria,Maize,1999,22375,89,654.45,17.97,old
144,Algeria,Potatoes,1999,153532,89,654.45,17.97,old
145,Algeria,"Rice, paddy",1999,13942,89,654.45,17.97,old
146,Algeria,Sorghum,1999,27000,89,654.45,17.97,old
147,Algeria,Wheat,1999,10711,89,654.45,17.97,old
148,Algeria,Maize,2000,36186,89,603.67,17.9,old
149,Algeria,Potatoes,2000,166143,89,603.67,17.9,old
150,Algeria,"Rice, paddy",2000,13052,89,603.67,17.9,old
151,Algeria,Sorghum,2000,69500,89,603.67,17.9,old
152,Algeria,Wheat,2000,9194,89,603.67,17.9,old
153,Algeria,Maize,2001,27175,89,710.11,18.13,medium
154,Algeria,Potatoes,2001,147018,89,710.11,18.13,medium
155,Algeria,"Rice, paddy",2001,12314,89,710.11,18.13,medium
156,Algeria,Sorghum,2001,27750,89,710.11,18.13,medium
157,Algeria,Wheat,2001,11104,89,710.11,18.13,medium
158,Algeria,Maize,2002,33480,89,816.55,17.85,medium
159,Algeria,Potatoes,2002,183774,89,816.55,17.85,medium
160,Algeria,"Rice, paddy",2002,12959,89,816.55,17.85,medium
161,Algeria,Sorghum,2002,33900,89,816.55,17.85,medium
162,Algeria,Wheat,2002,10739,89,816.55,17.85,medium
163,Algeria,Maize,2004,31729,89,3747.86,17.38,medium
164,Algeria,Potatoes,2004,203585,89,3747.86,17.38,medium
165,Algeria,"Rice, paddy",2004,12829,89,3747.86,17.38,medium
166,Algeria,Sorghum,2004,43316,89,3747.86,17.38,medium
167,Algeria,Wheat,2004,13582,89,3747.86,17.38,medium
168,Algeria,Maize,2005,33864,89,3662.87,17.19,medium
169,Algeria,Potatoes,2005,216267,89,3662.87,17.19,medium
170,Algeria,"Rice, paddy",2005,12998,89,3662.87,17.19,medium
171,Algeria,Sorghum,2005,33486,89,3662.87,17.19,medium
172,Algeria,Wheat,2005,15057,89,3662.87,17.19,medium
173,Algeria,Maize,2006,65668,89,4110.72,18.13,medium
174,Algeria,Potatoes,2006,220689,89,4110.72,18.13,medium
175,Algeria,"Rice, paddy",2006,12769,89,4110.72,18.13,medium
176,Algeria,Sorghum,2006,56728,89,4110.72,18.13,medium
177,Algeria,Wheat,2006,15068,89,4110.72,18.13,medium
178,Algeria,Maize,2007,85625,89,5390.79,17.42,medium
179,Algeria,Potatoes,2007,189927,89,5390.79,17.42,medium
180,Algeria,"Rice, paddy",2007,13375,89,5390.79,17.42,medium
181,Algeria,Sorghum,2007,119059,89,5390.79,17.42,medium
182,Algeria,Wheat,2007,12742,89,5390.79,17.42,medium
183,Algeria,Maize,2008,44714,89,11556.12,17.55,medium
184,Algeria,Potatoes,2008,39530,89,11556.12,17.55,medium
185,Algeria,"Rice, paddy",2008,13952,89,11556.12,17.55,medium
186,Algeria,Sorghum,2008,61786,89,11556.12,17.55,medium
187,Algeria,Wheat,2008,11038,89,11556.12,17.55,medium
188,Algeria,Maize,2009,30914,89,3867.99,17.78,medium
189,Algeria,Potatoes,2009,39530,89,3867.99,17.78,medium
190,Algeria,"Rice, paddy",2009,14594,89,3867.99,17.78,medium
191,Algeria,Sorghum,2009,90465,89,3867.99,17.78,medium
192,Algeria,Wheat,2009,15975,89,3867.99,17.78,medium
193,Algeria,Maize,2010,25827,89,1295.88,17.59,medium
194,Algeria,Potatoes,2010,39530,89,1295.88,17.59,medium
195,Algeria,"Rice, paddy",2010,15305,89,1295.88,17.59,medium
196,Algeria,Sorghum,2010,30286,89,1295.88,17.59,medium
197,Algeria,Wheat,2010,14838,89,1295.88,17.59,medium
198,Algeria,Maize,2011,23374,89,13861.76,17.79,new
199,Algeria,Potatoes,2011,39530,89,13861.76,17.79,new
200,Algeria,"Rice, paddy",2011,16081,89,13861.76,17.79,new
201,Algeria,Sorghum,2011,100000,89,13861.76,17.79,new
202,Algeria,Wheat,2011,17405,89,13861.76,17.79,new
203,Algeria,Maize,2012,25583,89,17379.76,17.91,new
204,Algeria,Potatoes,2012,39530,89,17379.76,17.91,new
205,Algeria,"Rice, paddy",2012,16667,89,17379.76,17.91,new
206,Algeria,Sorghum,2012,206000,89,17379.76,17.91,new
207,Algeria,Wheat,2012,17639,89,17379.76,17.91,new
208,Algeria,Maize,2013,33649,89,17278.65,17.65,new
209,Algeria,Potatoes,2013,39530,89,17278.65,17.65,new
210,Algeria,"Rice, paddy",2013,17778,89,17278.65,17.65,new
211,Algeria,Sorghum,2013,60000,89,17278.65,17.65,new
212,Algeria,Wheat,2013,19100,89,17278.65,17.65,new
213,Angola,Cassava,1990,41177,1010,64,24.12,old
214,Angola,Maize,1990,2736,1010,64,24.12,old
215,Angola,Potatoes,1990,40000,1010,64,24.12,old
216,Angola,"Rice, paddy",1990,9512,1010,64,24.12,old
217,Angola,Sweet potatoes,1990,89342,1010,64,24.12,old
218,Angola,Wheat,1990,7995,1010,64,24.12,old
219,Angola,Cassava,1991,40295,1010,79,24.02,old
220,Angola,Maize,1991,4013,1010,79,24.02,old
221,Angola,Potatoes,1991,40000,1010,79,24.02,old
222,Angola,"Rice, paddy",1991,10000,1010,79,24.02,old
223,Angola,Sweet potatoes,1991,83001,1010,79,24.02,old
224,Angola,Wheat,1991,8000,1010,79,24.02,old
225,Angola,Cassava,1992,42295,1010,23,23.96,old
226,Angola,Maize,1992,3778,1010,23,23.96,old
227,Angola,Potatoes,1992,40000,1010,23,23.96,old
228,Angola,"Rice, paddy",1992,9106,1010,23,23.96,old
229,Angola,Sweet potatoes,1992,90000,1010,23,23.96,old
230,Angola,Wheat,1992,8000,1010,23,23.96,old
231,Angola,Cassava,1993,42295,1010,169,24.15,old
232,Angola,Maize,1993,2627,1010,169,24.15,old
233,Angola,Potatoes,1993,70000,1010,169,24.15,old
234,Angola,"Rice, paddy",1993,8000,1010,169,24.15,old
235,Angola,Sweet potatoes,1993,88095,1010,169,24.15,old
236,Angola,Wheat,1993,8876,1010,169,24.15,old
237,Angola,Cassava,1994,58596,1010,25.5,24.04,old
238,Angola,Maize,1994,2463,1010,25.5,24.04,old
239,Angola,Potatoes,1994,90000,1010,25.5,24.04,old
240,Angola,"Rice, paddy",1994,8750,1010,25.5,24.04,old
241,Angola,Sweet potatoes,1994,83192,1010,25.5,24.04,old
242,Angola,Wheat,1994,10000,1010,25.5,24.04,old
243,Angola,Cassava,1995,51000,1010,336,24.56,old
244,Angola,Maize,1995,3517,1010,336,24.56,old
245,Angola,Potatoes,1995,76738,1010,336,24.56,old
246,Angola,"Rice, paddy",1995,14615,1010,336,24.56,old
247,Angola,Sweet potatoes,1995,81138,1010,336,24.56,old
248,Angola,Wheat,1995,11855,1010,336,24.56,old
249,Angola,Cassava,1996,48077,1010,40,24.11,old
250,Angola,Maize,1996,6993,1010,40,24.11,old
251,Angola,Potatoes,1996,70000,1010,40,24.11,old
252,Angola,"Rice, paddy",1996,17500,1010,40,24.11,old
253,Angola,Sweet potatoes,1996,85455,1010,40,24.11,old
254,Angola,Wheat,1996,13738,1010,40,24.11,old
255,Angola,Cassava,1997,44205,1010,40,24.06,old
256,Angola,Maize,1997,5959,1010,40,24.06,old
257,Angola,Potatoes,1997,68571,1010,40,24.06,old
258,Angola,"Rice, paddy",1997,20000,1010,40,24.06,old
259,Angola,Sweet potatoes,1997,78098,1010,40,24.06,old
260,Angola,Wheat,1997,15509,1010,40,24.06,old
261,Angola,Cassava,1998,55728,1010,40,24.96,old
262,Angola,Maize,1998,7396,1010,40,24.96,old
263,Angola,Potatoes,1998,62724,1010,40,24.96,old
264,Angola,"Rice, paddy",1998,20000,1010,40,24.96,old
265,Angola,Sweet potatoes,1998,76256,1010,40,24.96,old
266,Angola,Wheat,1998,17143,1010,40,24.96,old
267,Angola,Cassava,1999,59821,1010,40,24.37,old
268,Angola,Maize,1999,6361,1010,40,24.37,old
269,Angola,Potatoes,1999,54597,1010,40,24.37,old
270,Angola,"Rice, paddy",1999,14235,1010,40,24.37,old
271,Angola,Sweet potatoes,1999,82865,1010,40,24.37,old
272,Angola,Wheat,1999,17391,1010,40,24.37,old
273,Angola,Cassava,2000,82992,1010,40,24.41,old
274,Angola,Maize,2000,5745,1010,40,24.41,old
275,Angola,Potatoes,2000,29885,1010,40,24.41,old
276,Angola,"Rice, paddy",2000,13454,1010,40,24.41,old
277,Angola,Sorghum,2000,3333,1010,40,24.41,old
278,Angola,Soybeans,2000,2333,1010,40,24.41,old
279,Angola,Sweet potatoes,2000,34938,1010,40,24.41,old
280,Angola,Wheat,2000,17023,1010,40,24.41,old
281,Angola,Cassava,2001,94072,1010,40,24.43,medium
282,Angola,Maize,2001,5754,1010,40,24.43,medium
283,Angola,Potatoes,2001,42552,1010,40,24.43,medium
284,Angola,"Rice, paddy",2001,13701,1010,40,24.43,medium
285,Angola,Sorghum,2001,3571,1010,40,24.43,medium
286,Angola,Soybeans,2001,2500,1010,40,24.43,medium
287,Angola,Sweet potatoes,2001,44458,1010,40,24.43,medium
288,Angola,Wheat,2001,16667,1010,40,24.43,medium
289,Angola,Cassava,2002,110071,1010,40,24.79,medium
290,Angola,Maize,2002,6706,1010,40,24.79,medium
291,Angola,Potatoes,2002,42754,1010,40,24.79,medium
292,Angola,"Rice, paddy",2002,13198,1010,40,24.79,medium
293,Angola,Sorghum,2002,3400,1010,40,24.79,medium
294,Angola,Soybeans,2002,2857,1010,40,24.79,medium
295,Angola,Sweet potatoes,2002,42190,1010,40,24.79,medium
296,Angola,Wheat,2002,15455,1010,40,24.79,medium
297,Angola,Cassava,2004,125605,1010,40,24.22,medium
298,Angola,Maize,2004,5404,1010,40,24.22,medium
299,Angola,Potatoes,2004,20150,1010,40,24.22,medium
300,Angola,"Rice, paddy",2004,11584,1010,40,24.22,medium
301,Angola,Sorghum,2004,3333,1010,40,24.22,medium
302,Angola,Soybeans,2004,3600,1010,40,24.22,medium
303,Angola,Sweet potatoes,2004,45360,1010,40,24.22,medium
304,Angola,Wheat,2004,12442,1010,40,24.22,medium
305,Angola,Cassava,2005,117628,1010,40,24.41,medium
306,Angola,Maize,2005,6736,1010,40,24.41,medium
307,Angola,Potatoes,2005,23646,1010,40,24.41,medium
308,Angola,"Rice, paddy",2005,6977,1010,40,24.41,medium
309,Angola,Sorghum,2005,3333,1010,40,24.41,medium
310,Angola,Soybeans,2005,3793,1010,40,24.41,medium
311,Angola,Sweet potatoes,2005,46159,1010,40,24.41,medium
312,Angola,Wheat,2005,10946,1010,40,24.41,medium
313,Angola,Cassava,2006,117201,1010,40,24.14,medium
314,Angola,Maize,2006,4687,1010,40,24.14,medium
315,Angola,Potatoes,2006,52148,1010,40,24.14,medium
316,Angola,"Rice, paddy",2006,4947,1010,40,24.14,medium
317,Angola,Sorghum,2006,4091,1010,40,24.14,medium
318,Angola,Soybeans,2006,4286,1010,40,24.14,medium
319,Angola,Sweet potatoes,2006,44240,1010,40,24.14,medium
320,Angola,Wheat,2006,10000,1010,40,24.14,medium
321,Angola,Cassava,2007,115387,1010,40,24.24,medium
322,Angola,Maize,2007,5091,1010,40,24.24,medium
323,Angola,Potatoes,2007,62138,1010,40,24.24,medium
324,Angola,"Rice, paddy",2007,5143,1010,40,24.24,medium
325,Angola,Sorghum,2007,4031,1010,40,24.24,medium
326,Angola,Soybeans,2007,6883,1010,40,24.24,medium
327,Angola,Sweet potatoes,2007,58855,1010,40,24.24,medium
328,Angola,Wheat,2007,10000,1010,40,24.24,medium
329,Angola,Cassava,2008,148084,1010,40,24.27,medium
330,Angola,Maize,2008,7946,1010,40,24.27,medium
331,Angola,Potatoes,2008,85085,1010,40,24.27,medium
332,Angola,"Rice, paddy",2008,5084,1010,40,24.27,medium
333,Angola,Sorghum,2008,929,1010,40,24.27,medium
334,Angola,Soybeans,2008,8575,1010,40,24.27,medium
335,Angola,Sweet potatoes,2008,65437,1010,40,24.27,medium
336,Angola,Wheat,2008,10000,1010,40,24.27,medium
337,Angola,Cassava,2009,151759,1010,40,24.33,medium
338,Angola,Maize,2009,6614,1010,40,24.33,medium
339,Angola,Potatoes,2009,86509,1010,40,24.33,medium
340,Angola,"Rice, paddy",2009,6028,1010,40,24.33,medium
341,Angola,Sorghum,2009,2480,1010,40,24.33,medium
342,Angola,Soybeans,2009,4449,1010,40,24.33,medium
343,Angola,Sweet potatoes,2009,66475,1010,40,24.33,medium
344,Angola,Wheat,2009,10000,1010,40,24.33,medium
345,Angola,Cassava,2010,155782,1010,40,24.44,medium
346,Angola,Maize,2010,7200,1010,40,24.44,medium
347,Angola,Potatoes,2010,87425,1010,40,24.44,medium
348,Angola,"Rice, paddy",2010,7403,1010,40,24.44,medium
349,Angola,Sorghum,2010,2814,1010,40,24.44,medium
350,Angola,Soybeans,2010,4446,1010,40,24.44,medium
351,Angola,Sweet potatoes,2010,63001,1010,40,24.44,medium
352,Angola,Wheat,2010,10526,1010,40,24.44,medium
353,Angola,Cassava,2011,133649,1010,40,24.15,new
354,Angola,Maize,2011,7376,1010,40,24.15,new
355,Angola,Potatoes,2011,81366,1010,40,24.15,new
356,Angola,"Rice, paddy",2011,8914,1010,40,24.15,new
357,Angola,Sorghum,2011,3320,1010,40,24.15,new
358,Angola,Soybeans,2011,5294,1010,40,24.15,new
359,Angola,Sweet potatoes,2011,65512,1010,40,24.15,new
360,Angola,Wheat,2011,10959,1010,40,24.15,new
361,Angola,Cassava,2012,100073,1010,40,24.24,new
362,Angola,Maize,2012,7770,1010,40,24.24,new
363,Angola,Potatoes,2012,69381,1010,40,24.24,new
364,Angola,"Rice, paddy",2012,7703,1010,40,24.24,new
365,Angola,Sorghum,2012,998,1010,40,24.24,new
366,Angola,Soybeans,2012,1641,1010,40,24.24,new
367,Angola,Sweet potatoes,2012,52954,1010,40,24.24,new
368,Angola,Wheat,2012,11258,1010,40,24.24,new
369,Angola,Cassava,2013,140517,1010,40,24.55,new
370,Angola,Maize,2013,9467,1010,40,24.55,new
371,Angola,Potatoes,2013,63303,1010,40,24.55,new
372,Angola,"Rice, paddy",2013,12744,1010,40,24.55,new
373,Angola,Sorghum,2013,2415,1010,40,24.55,new
374,Angola,Soybeans,2013,4405,1010,40,24.55,new
375,Angola,Sweet potatoes,2013,73409,1010,40,24.55,new
376,Angola,Wheat,2013,9022,1010,40,24.55,new
377,Argentina,Cassava,1990,100000,591,26156,17.46,old
378,Argentina,Cassava,1990,100000,591,26156,17.67,old
379,Argentina,Maize,1990,34608,591,26156,17.46,old
380,Argentina,Maize,1990,34608,591,26156,17.67,old
381,Argentina,Potatoes,1990,202747,591,26156,17.46,old
382,Argentina,Potatoes,1990,202747,591,26156,17.67,old
383,Argentina,"Rice, paddy",1990,36709,591,26156,17.46,old
384,Argentina,"Rice, paddy",1990,36709,591,26156,17.67,old
385,Argentina,Sorghum,1990,28116,591,26156,17.46,old
386,Argentina,Sorghum,1990,28116,591,26156,17.67,old
387,Argentina,Soybeans,1990,21566,591,26156,17.46,old
388,Argentina,Soybeans,1990,21566,591,26156,17.67,old
389,Argentina,Sweet potatoes,1990,131864,591,26156,17.46,old
390,Argentina,Sweet potatoes,1990,131864,591,26156,17.67,old
391,Argentina,Wheat,1990,18947,591,26156,17.46,old
392,Argentina,Wheat,1990,18947,591,26156,17.67,old
393,Argentina,Cassava,1991,100000,591,26156,17.64,old
394,Argentina,Cassava,1991,100000,591,26156,17.86,old
395,Argentina,Maize,1991,40444,591,26156,17.64,old
396,Argentina,Maize,1991,40444,591,26156,17.86,old
397,Argentina,Potatoes,1991,205692,591,26156,17.64,old
398,Argentina,Potatoes,1991,205692,591,26156,17.86,old
399,Argentina,"Rice, paddy",1991,40294,591,26156,17.64,old
400,Argentina,"Rice, paddy",1991,40294,591,26156,17.86,old
401,Argentina,Sorghum,1991,33320,591,26156,17.64,old
402,Argentina,Sorghum,1991,33320,591,26156,17.86,old
403,Argentina,Soybeans,1991,22750,591,26156,17.64,old
404,Argentina,Soybeans,1991,22750,591,26156,17.86,old
405,Argentina,Sweet potatoes,1991,131364,591,26156,17.64,old
406,Argentina,Sweet potatoes,1991,131364,591,26156,17.86,old
407,Argentina,Wheat,1991,18972,591,26156,17.64,old
408,Argentina,Wheat,1991,18972,591,26156,17.86,old
409,Argentina,Cassava,1992,100000,591,26156,17.09,old
410,Argentina,Cassava,1992,100000,591,26156,17.51,old
411,Argentina,Maize,1992,45237,591,26156,17.09,old
412,Argentina,Maize,1992,45237,591,26156,17.51,old
413,Argentina,Potatoes,1992,199039,591,26156,17.09,old
414,Argentina,Potatoes,1992,199039,591,26156,17.51,old
415,Argentina,"Rice, paddy",1992,52075,591,26156,17.09,old
416,Argentina,"Rice, paddy",1992,52075,591,26156,17.51,old
417,Argentina,Sorghum,1992,36217,591,26156,17.09,old
418,Argentina,Sorghum,1992,36217,591,26156,17.51,old
419,Argentina,Soybeans,1992,22915,591,26156,17.09,old
420,Argentina,Soybeans,1992,22915,591,26156,17.51,old
421,Argentina,Sweet potatoes,1992,127273,591,26156,17.09,old
422,Argentina,Sweet potatoes,1992,127273,591,26156,17.51,old
423,Argentina,Wheat,1992,21809,591,26156,17.09,old
424,Argentina,Wheat,1992,21809,591,26156,17.51,old
425,Argentina,Cassava,1993,100000,591,26156,17.32,old
426,Argentina,Cassava,1993,100000,591,26156,17.53,old
427,Argentina,Maize,1993,43552,591,26156,17.32,old
428,Argentina,Maize,1993,43552,591,26156,17.53,old
429,Argentina,Potatoes,1993,210314,591,26156,17.32,old
430,Argentina,Potatoes,1993,210314,591,26156,17.53,old
431,Argentina,"Rice, paddy",1993,43559,591,26156,17.32,old
432,Argentina,"Rice, paddy",1993,43559,591,26156,17.53,old
433,Argentina,Sorghum,1993,39529,591,26156,17.32,old
434,Argentina,Sorghum,1993,39529,591,26156,17.53,old
435,Argentina,Soybeans,1993,21589,591,26156,17.32,old
436,Argentina,Soybeans,1993,21589,591,26156,17.53,old
437,Argentina,Sweet potatoes,1993,122955,591,26156,17.32,old
438,Argentina,Sweet potatoes,1993,122955,591,26156,17.53,old
439,Argentina,Wheat,1993,23272,591,26156,17.32,old
440,Argentina,Wheat,1993,23272,591,26156,17.53,old
441,Argentina,Cassava,1994,100000,591,30195,18.17,old
442,Argentina,Cassava,1994,100000,591,30195,18.31,old
443,Argentina,Maize,1994,42371,591,30195,18.17,old
444,Argentina,Maize,1994,42371,591,30195,18.31,old
445,Argentina,Potatoes,1994,230166,591,30195,18.17,old
446,Argentina,Potatoes,1994,230166,591,30195,18.31,old
447,Argentina,"Rice, paddy",1994,42989,591,30195,18.17,old
448,Argentina,"Rice, paddy",1994,42989,591,30195,18.31,old
449,Argentina,Sorghum,1994,35065,591,30195,18.17,old
450,Argentina,Sorghum,1994,35065,591,30195,18.31,old
451,Argentina,Soybeans,1994,20386,591,30195,18.17,old
452,Argentina,Soybeans,1994,20386,591,30195,18.31,old
453,Argentina,Sweet potatoes,1994,176667,591,30195,18.17,old
