,Index,Area,Item,Year,yield_value,avg_rainfall,pest_tonnes,avg_temp,year_range
233,233,Angola,Potatoes,1993,70000.0,1010,169.0,24.15,old
234,234,Angola,"Rice, paddy",1993,8000.0,1010,169.0,24.15,old
235,235,Angola,Sweet potatoes,1993,88095.0,1010,169.0,24.15,old
236,236,Angola,Wheat,1993,8876.0,1010,169.0,24.15,old
237,237,Angola,Cassava,1994,58596.0,1010,25.5,24.04,old
238,238,Angola,Maize,1994,2463.0,1010,25.5,24.04,old
239,239,Angola,Potatoes,1994,90000.0,1010,25.5,24.04,old
240,240,Angola,"Rice, paddy",1994,8750.0,1010,25.5,24.04,old
241,241,Angola,Sweet potatoes,1994,83192.0,1010,25.5,24.04,old
242,242,Angola,Wheat,1994,10000.0,1010,25.5,24.04,old
243,243,Angola,Cassava,1995,51000.0,1010,336.0,24.56,old
244,244,Angola,Maize,1995,3517.0,1010,336.0,24.56,old
245,245,Angola,Potatoes,1995,76738.0,1010,336.0,24.56,old
246,246,Angola,"Rice, paddy",1995,14615.0,1010,336.0,24.56,old
247,247,Angola,Sweet potatoes,1995,81138.0,1010,336.0,24.56,old
248,248,Angola,Wheat,1995,11855.0,1010,336.0,24.56,old
249,249,Angola,Cassava,1996,48077.0,1010,40.0,24.11,old
250,250,Angola,Maize,1996,6993.0,1010,40.0,24.11,old
251,251,Angola,Potatoes,1996,70000.0,1010,40.0,24.11,old
252,252,Angola,"Rice, paddy",1996,17500.0,1010,40.0,24.11,old
253,253,Angola,Sweet potatoes,1996,85455.0,1010,40.0,24.11,old
254,254,Angola,Wheat,1996,13738.0,1010,40.0,24.11,old
255,255,Angola,Cassava,1997,44205.0,1010,40.0,24.06,old
256,256,Angola,Maize,1997,5959.0,1010,40.0,24.06,old
257,257,Angola,Potatoes,1997,68571.0,1010,40.0,24.06,old
258,258,Angola,"Rice, paddy",1997,20000.0,1010,40.0,24.06,old
259,259,Angola,Sweet potatoes,1997,78098.0,1010,40.0,24.06,old
260,260,Angola,Wheat,1997,15509.0,1010,40.0,24.06,old
261,261,Angola,Cassava,1998,55728.0,1010,40.0,24.96,old
262,262,Angola,Maize,1998,7396.0,1010,40.0,24.96,old
263,263,Angola,Potatoes,1998,62724.0,1010,40.0,24.96,old
264,264,Angola,"Rice, paddy",1998,20000.0,1010,40.0,24.96,old
265,265,Angola,Sweet potatoes,1998,76256.0,1010,40.0,24.96,old
266,266,Angola,Wheat,1998,17143.0,1010,40.0,24.96,old
267,267,Angola,Cassava,1999,59821.0,1010,40.0,24.37,old
268,268,Angola,Maize,1999,6361.0,1010,40.0,24.37,old
269,269,Angola,Potatoes,1999,54597.0,1010,40.0,24.37,old
270,270,Angola,"Rice, paddy",1999,14235.0,1010,40.0,24.37,old
271,271,Angola,Sweet potatoes,1999,82865.0,1010,40.0,24.37,old
272,272,Angola,Wheat,1999,17391.0,1010,40.0,24.37,old
273,273,Angola,Cassava,2000,82992.0,1010,40.0,24.41,old
274,274,Angola,Maize,2000,5745.0,1010,40.0,24.41,old
275,275,Angola,Potatoes,2000,29885.0,1010,40.0,24.41,old
276,276,Angola,"Rice, paddy",2000,13454.0,1010,40.0,24.41,old
277,277,Angola,Sorghum,2000,3333.0,1010,40.0,24.41,old
278,278,Angola,Soybeans,2000,2333.0,1010,40.0,24.41,old
279,279,Angola,Sweet potatoes,2000,34938.0,1010,40.0,24.41,old
280,280,Angola,Wheat,2000,17023.0,1010,40.0,24.41,old
281,281,Angola,Cassava,2001,94072.0,1010,40.0,24.43,medium
282,282,Angola,Maize,2001,5754.0,1010,40.0,24.43,medium
283,283,Angola,Potatoes,2001,42552.0,1010,40.0,24.43,medium
284,284,Angola,"Rice, paddy",2001,13701.0,1010,40.0,24.43,medium
285,285,Angola,Sorghum,2001,3571.0,1010,40.0,24.43,medium
286,286,Angola,Soybeans,2001,2500.0,1010,40.0,24.43,medium
287,287,Angola,Sweet potatoes,2001,44458.0,1010,40.0,24.43,medium
288,288,Angola,Wheat,2001,16667.0,1010,40.0,24.43,medium
289,289,Angola,Cassava,2002,110071.0,1010,40.0,24.79,medium
290,290,Angola,Maize,2002,6706.0,1010,40.0,24.79,medium
291,291,Angola,Potatoes,2002,42754.0,1010,40.0,24.79,medium
292,292,Angola,"Rice, paddy",2002,13198.0,1010,40.0,24.79,medium
293,293,Angola,Sorghum,2002,3400.0,1010,40.0,24.79,medium
294,294,Angola,Soybeans,2002,2857.0,1010,40.0,24.79,medium
295,295,Angola,Sweet potatoes,2002,42190.0,1010,40.0,24.79,medium
296,296,Angola,Wheat,2002,15455.0,1010,40.0,24.79,medium
297,297,Angola,Cassava,2004,125605.0,1010,40.0,24.22,medium
298,298,Angola,Maize,2004,5404.0,1010,40.0,24.22,medium
299,299,Angola,Potatoes,2004,20150.0,1010,40.0,24.22,medium
300,300,Angola,"Rice, paddy",2004,11584.0,1010,40.0,24.22,medium
301,301,Angola,Sorghum,2004,3333.0,1010,40.0,24.22,medium
302,302,Angola,Soybeans,2004,3600.0,1010,40.0,24.22,medium
303,303,Angola,Sweet potatoes,2004,45360.0,1010,40.0,24.22,medium
304,304,Angola,Wheat,2004,12442.0,1010,40.0,24.22,medium
305,305,Angola,Cassava,2005,117628.0,1010,40.0,24.41,medium
306,306,Angola,Maize,2005,6736.0,1010,40.0,24.41,medium
307,307,Angola,Potatoes,2005,23646.0,1010,40.0,24.41,medium
308,308,Angola,"Rice, paddy",2005,6977.0,1010,40.0,24.41,medium
309,309,Angola,Sorghum,2005,3333.0,1010,40.0,24.41,medium
310,310,Angola,Soybeans,2005,3793.0,1010,40.0,24.41,medium
311,311,Angola,Sweet potatoes,2005,46159.0,1010,40.0,24.41,medium
312,312,Angola,Wheat,2005,10946.0,1010,40.0,24.41,medium
313,313,Angola,Cassava,2006,117201.0,1010,40.0,24.14,medium
314,314,Angola,Maize,2006,4687.0,1010,40.0,24.14,medium
315,315,Angola,Potatoes,2006,52148.0,1010,40.0,24.14,medium
316,316,Angola,"Rice, paddy",2006,4947.0,1010,40.0,24.14,medium
317,317,Angola,Sorghum,2006,4091.0,1010,40.0,24.14,medium
318,318,Angola,Soybeans,2006,4286.0,1010,40.0,24.14,medium
319,319,Angola,Sweet potatoes,2006,44240.0,1010,40.0,24.14,medium
320,320,Angola,Wheat,2006,10000.0,1010,40.0,24.14,medium
321,321,Angola,Cassava,2007,115387.0,1010,40.0,24.24,medium
322,322,Angola,Maize,2007,5091.0,1010,40.0,24.24,medium
323,323,Angola,Potatoes,2007,62138.0,1010,40.0,24.24,medium
324,324,Angola,"Rice, paddy",2007,5143.0,1010,40.0,24.24,medium
325,325,Angola,Sorghum,2007,4031.0,1010,40.0,24.24,medium
326,326,Angola,Soybeans,2007,6883.0,1010,40.0,24.24,medium
327,327,Angola,Sweet potatoes,2007,58855.0,1010,40.0,24.24,medium
328,328,Angola,Wheat,2007,10000.0,1010,40.0,24.24,medium
329,329,Angola,Cassava,2008,148084.0,1010,40.0,24.27,medium
330,330,Angola,Maize,2008,7946.0,1010,40.0,24.27,medium
331,331,Angola,Potatoes,2008,85085.0,1010,40.0,24.27,medium
332,332,Angola,"Rice, paddy",2008,5084.0,1010,40.0,24.27,medium
333,333,Angola,Sorghum,2008,929.0,1010,40.0,24.27,medium
334,334,Angola,Soybeans,2008,8575.0,1010,40.0,24.27,medium
335,335,Angola,Sweet potatoes,2008,65437.0,1010,40.0,24.27,medium
336,336,Angola,Wheat,2008,10000.0,1010,40.0,24.27,medium
337,337,Angola,Cassava,2009,151759.0,1010,40.0,24.33,medium
338,338,Angola,Maize,2009,6614.0,1010,40.0,24.33,medium
339,339,Angola,Potatoes,2009,86509.0,1010,40.0,24.33,medium
340,340,Angola,"Rice, paddy",2009,6028.0,1010,40.0,24.33,medium
341,341,Angola,Sorghum,2009,2480.0,1010,40.0,24.33,medium
342,342,Angola,Soybeans,2009,4449.0,1010,40.0,24.33,medium
343,343,Angola,Sweet potatoes,2009,66475.0,1010,40.0,24.33,medium
344,344,Angola,Wheat,2009,10000.0,1010,40.0,24.33,medium
345,345,Angola,Cassava,2010,155782.0,1010,40.0,24.44,medium
346,346,Angola,Maize,2010,7200.0,1010,40.0,24.44,medium
347,347,Angola,Potatoes,2010,87425.0,1010,40.0,24.44,medium
348,348,Angola,"Rice, paddy",2010,7403.0,1010,40.0,24.44,medium
349,349,Angola,Sorghum,2010,2814.0,1010,40.0,24.44,medium
350,350,Angola,Soybeans,2010,4446.0,1010,40.0,24.44,medium
351,351,Angola,Sweet potatoes,2010,63001.0,1010,40.0,24.44,medium
352,352,Angola,Wheat,2010,10526.0,1010,40.0,24.44,medium
353,353,Angola,Cassava,2011,133649.0,1010,40.0,24.15,new
354,354,Angola,Maize,2011,7376.0,1010,40.0,24.15,new
355,355,Angola,Potatoes,2011,81366.0,1010,40.0,24.15,new
356,356,Angola,"Rice, paddy",2011,8914.0,1010,40.0,24.15,new
357,357,Angola,Sorghum,2011,3320.0,1010,40.0,24.15,new
358,358,Angola,Soybeans,2011,5294.0,1010,40.0,24.15,new
359,359,Angola,Sweet potatoes,2011,65512.0,1010,40.0,24.15,new
360,360,Angola,Wheat,2011,10959.0,1010,40.0,24.15,new
361,361,Angola,Cassava,2012,100073.0,1010,40.0,24.24,new
362,362,Angola,Maize,2012,7770.0,1010,40.0,24.24,new
363,363,Angola,Potatoes,2012,69381.0,1010,40.0,24.24,new
364,364,Angola,"Rice, paddy",2012,7703.0,1010,40.0,24.24,new
365,365,Angola,Sorghum,2012,998.0,1010,40.0,24.24,new
366,366,Angola,Soybeans,2012,1641.0,1010,40.0,24.24,new
367,367,Angola,Sweet potatoes,2012,52954.0,1010,40.0,24.24,new
368,368,Angola,Wheat,2012,11258.0,1010,40.0,24.24,new
369,369,Angola,Cassava,2013,140517.0,1010,40.0,24.55,new
370,370,Angola,Maize,2013,9467.0,1010,40.0,24.55,new
371,371,Angola,Potatoes,2013,63303.0,1010,40.0,24.55,new
372,372,Angola,"Rice, paddy",2013,12744.0,1010,40.0,24.55,new
373,373,Angola,Sorghum,2013,2415.0,1010,40.0,24.55,new
374,374,Angola,Soybeans,2013,4405.0,1010,40.0,24.55,new
375,375,Angola,Sweet potatoes,2013,73409.0,1010,40.0,24.55,new
376,376,Angola,Wheat,2013,9022.0,1010,40.0,24.55,new
377,377,Argentina,Cassava,1990,100000.0,591,26156.0,17.46,old
378,378,Argentina,Cassava,1990,100000.0,591,26156.0,17.67,old
379,379,Argentina,Maize,1990,34608.0,591,26156.0,17.46,old
380,380,Argentina,Maize,1990,34608.0,591,26156.0,17.67,old
381,381,Argentina,Potatoes,1990,202747.0,591,26156.0,17.46,old
382,382,Argentina,Potatoes,1990,202747.0,591,26156.0,17.67,old
383,383,Argentina,"Rice, paddy",1990,36709.0,591,26156.0,17.46,old
384,384,Argentina,"Rice, paddy",1990,36709.0,591,26156.0,17.67,old
385,385,Argentina,Sorghum,1990,28116.0,591,26156.0,17.46,old
386,386,Argentina,Sorghum,1990,28116.0,591,26156.0,17.67,old
387,387,Argentina,Soybeans,1990,21566.0,591,26156.0,17.46,old
388,388,Argentina,Soybeans,1990,21566.0,591,26156.0,17.67,old
389,389,Argentina,Sweet potatoes,1990,131864.0,591,26156.0,17.46,old
